"","profundidad","Edad_del_hielo","Edad_del_gas","delta.D","polvo","CO2","CH4","TEMP_δD"
"170",1820,132.29,130.05,-427.15,14.43,272.92,609.02,-53.3583333333333
"171",1830,133.01,130.78,-420.98,9.2,273.44,616.49,-52.33
"172",1840,133.74,131.51,-428.51,30.5,269.81,629.03,-53.585
"173",1850,134.47,132.24,-440.89,46,266.18,646.08,-55.6483333333333
"174",1860,135.24,132.99,-430.44,11.38,277.41,649.35,-53.9066666666667
"175",1870,136,133.73,-437.21,10,289.42,693.41,-55.035
"176",1880,136.8,134.48,-442.66,18,291.71,600.31,-55.9433333333333
"177",1890,137.64,135.25,-454.55,8.25,280.02,532.7,-57.925
"178",1900,138.49,136.02,-456.74,18,268.34,527.77,-58.29
"179",1910,139.43,136.86,-464.04,24,260,509.61,-59.5066666666667
"180",1920,140.4,137.72,-473.68,42,252.5,483.99,-61.1133333333333
"181",1930,141.39,138.61,-484.07,92.38,245,458.38,-62.845
"182",1940,142.49,139.58,-486.84,60.33,237.51,445.28,-63.3066666666667
"183",1950,143.61,140.57,-485.33,344,230.31,435.5,-63.055
"184",1960,144.89,141.68,-496.7,96.33,225.05,419.71,-64.95
"185",1970,146.18,142.78,-496.39,156.5,219.79,398.54,-64.8983333333333
"186",1980,147.58,143.98,-490.49,162,211.62,352.91,-63.915
"187",1990,149.11,145.29,-492,98,200.16,363.05,-64.1666666666667
"188",2000,150.67,146.65,-490.51,301,191.69,369.66,-63.9183333333333
"189",2010,152.35,148.23,-495.73,296,195.12,337.2,-64.7883333333333
"190",2020,154.02,149.8,-490.8,297.89,198.55,318.25,-63.9666666666667
"191",2030,155.7,151.45,-495.07,247,198.89,318.94,-64.6783333333333
"192",2040,157.38,153.18,-492.08,184.27,195.15,339.4,-64.18
"193",2050,159.05,154.92,-496.54,308,191.41,348.54,-64.9233333333333
"194",2060,160.73,156.65,-492.25,90.36,192.8,353.25,-64.2083333333333
