,profundidad,Edad_del_hielo,Edad_del_gas,delta.D,polvo,CO2,CH4,TEMP_?D,tazaTemp,tazaCO2,tazaCH4
60,720,43.82,40.16,-483.45,119.92,195.3,438.3,-62.7416666666667,-0.326754385965009,7.80263157894732,1.45637583892618
61,730,44.58,40.92,-481.96,99.8,189.37,436.13,-62.4933333333333,-0.708333333333283,7.81578947368423,2.8978328173375
62,740,45.34,41.68,-478.73,75.4,183.43,426.77,-61.955,-0.225877192982494,4.69736842105263,9.19417475728126
63,750,46.1,42.44,-477.7,51,179.86,417.3,-61.7833333333333,-0.37555555555547,-10.5131578947367,5.91715976331362
64,760,46.85,43.2,-476.01,62.75,187.85,407.3,-61.5016666666667,0.49342105263158,-10.5131578947369,3.48444444444443
65,770,47.61,43.96,-478.26,40.25,195.84,415.14,-61.8766666666667,-0.635555555555603,-7.53333333333334,-9.76923076923072
66,780,48.36,44.71,-475.4,114.18,201.49,443.08,-61.4,0.869369369369325,-4.09210526315789,6.68134715025905
67,790,49.1,45.47,-479.26,95.09,204.6,468.87,-62.0433333333333,-0.977777777777732,-4.13333333333333,-3.62954545454547
68,800,49.85,46.22,-474.86,76,207.7,484.84,-61.31,1.93777777777773,1.70666666666667,1.83142201834863
69,810,50.6,46.97,-483.58,78.33,206.42,500.81,-62.7633333333333,-0.619369369369323,1.69333333333331,1.90181818181819
70,820,51.34,47.72,-480.83,101.67,205.15,495.58,-62.305,-1.79111111111106,1.70666666666667,1.30645161290322
71,830,52.09,48.47,-472.77,82.42,203.87,485.05,-60.9616666666667,-1.03333333333333,1.71621621621623,-0.387096774193553
72,840,52.84,49.21,-468.12,83.25,202.6,486.85,-60.1866666666667,-0.891891891891903,1.70666666666667,-3.32828282828283
73,850,53.58,49.96,-464.16,58,201.32,500.03,-59.5266666666667,1.5497835497835,0.426666666666658,1.84078212290505
74,860,54.35,50.71,-471.32,172.58,201,513.21,-60.72,1.00865800865806,0,1.31330472103004
75,870,55.12,51.45,-475.98,287.17,201,519.33,-61.4966666666667,-0.151709401709482,-5.04,-7.98591549295728
76,880,55.9,52.2,-475.27,187.63,204.78,525,-61.3783333333333,1.19198312236291,-8.83999999999999,-2.21061946902654
77,890,56.69,52.95,-480.92,188.88,211.41,512.51,-62.32,0.827083333333367,-8.83999999999999,-8.29974811083129
78,900,57.49,53.7,-484.89,151,218.04,479.56,-62.9816666666667,0.748971193415566,0.168831168831164,-9.05219780219783
79,910,58.3,54.47,-488.53,251.42,217.91,446.61,-63.5883333333333,-1.55555555555556,2.6025641025641,1.97089947089949
80,920,59.11,55.25,-480.97,351.83,215.88,431.71,-62.3283333333333,1.84136546184747,3.03797468354431,-1.30534351145038
81,930,59.94,56.04,-490.14,315.71,213.48,419.74,-63.8566666666667,0.291666666666671,3.98749999999998,-5.72789115646249
82,940,60.78,56.84,-491.61,381.13,210.29,411.32,-64.1016666666667,0.376470588235285,3.92592592592592,0.625000000000007
83,950,61.63,57.65,-493.53,299,207.11,412.52,-64.4216666666667,-1.11111111111115,3.02439024390246,-0.205172413793105
